,Date,Closing_P,Highest_P,Lowest_P,Opening_P,Volume,lag1,lag2,lag7,Return_1d,Return_7d,EMA_9,EMA_20,RSI_14,MACD,Signal,BB_Middle,BB_Upper,BB_Lower,volume_ratio,volume_ratio_7d,uptrend,BB_position,MACD_signal,RSI_zone,NextDay_Closing_P
34,2020-05-05,9003.0703125,9062.4150390625,8856.8271484375,8912.83203125,43148462663,8912.654296875,8897.46875,7807.05859375,1.0144678859214995,15.319620115410393,8617.104416499174,8135.570488824859,90.98012126851954,455.1309771969136,338.4415703690502,7874.940234375,9471.885616952688,6277.994851797312,0.9437794994101957,0.8695842939380173,1,0.8532149848180919,1,2.0,9268.76171875
35,2020-05-06,9268.76171875,9411.4677734375,8966.7060546875,9007.44140625,49371886931,9003.0703125,8912.654296875,8801.0380859375,2.9511199738283755,5.314414370730192,8747.478185656342,8246.515807894133,91.07934187030685,480.77998687265335,366.9184949601518,7982.538110351563,9652.712142264121,6312.3640784390045,1.1442328158156285,1.0270271734479597,1,0.8850567616973275,1,2.0,9951.5185546875
36,2020-05-07,9951.5185546875,9992.6640625,9138.322265625,9261.8955078125,61112700562,9268.76171875,9003.0703125,8658.5537109375,7.366214135771076,14.932803871352384,8988.348793047478,8413.000417800582,92.18431400095729,546.88572289693,402.92128740681346,8125.3048095703125,9956.821347954352,6293.788271186273,1.2378036239005499,1.293756572158954,1,0.9985523490627252,1,2.0,9842.666015625
37,2020-05-08,9842.666015625,9996.7431640625,9767.1728515625,9936.162109375,51780748042,9951.5185546875,9268.76171875,8864.7666015625,-1.0938284289408906,11.031304692107025,9159.247731883912,8552.26462930926,88.49513087590758,584.0718901114396,439.1589342125255,8254.554858398438,10190.15323901854,6318.956477778336,0.8472992940226466,1.0712136290883334,1,0.9102377779211055,1,2.0,9593.896484375
38,2020-05-09,9593.896484375,9913.86328125,9580.64453125,9840.90625,46566121841,9842.666015625,9951.5185546875,8988.5966796875,-2.5274608612654736,6.734085711681348,9246.19192846465,8653.510411542233,81.56097208870057,587.5277450634276,468.83762760147226,8374.778442382812,10330.408906849603,6419.147977916021,0.8992941122293105,0.9453665278308738,1,0.8116943778855952,1,2.0,8756.4306640625
39,2020-05-10,8756.4306640625,9595.5810546875,8395.107421875,9591.1689453125,63325279337,9593.896484375,9842.666015625,8897.46875,-8.729152140388742,-1.5851484270456129,9148.226653765645,8663.494597647035,63.68293549340814,519.5137650617125,478.9742024754307,8468.50205078125,10298.531942410313,6638.472159152186,1.3599002200188397,1.227832389806814,1,0.5786677350458307,1,1.0,8601.7958984375
40,2020-05-11,8601.7958984375,9033.470703125,8374.3232421875,8755.53515625,57119858802,8756.4306640625,9593.896484375,8912.654296875,-1.7659566044374797,-3.4878318857996637,9038.928880167174,8657.51985177086,60.146265676567864,448.4620325325068,472.87111949574535,8554.57568359375,10225.0673595075,6884.08400768,0.9020072141809841,1.0736093150394235,1,0.5141336276991386,0,1.0,8804.4775390625
41,2020-05-12,8804.4775390625,8949.8984375,8569.6435546875,8610.3857421875,42142717533,8601.7958984375,8756.4306640625,9003.0703125,2.3562712138033515,-2.2058338604972416,8992.034622624,8671.728137907117,61.97643682837843,403.2753111162747,458.9507736077894,8638.939184570312,10168.2428636848,7109.635505455824,0.7377944976909574,0.7942479358710033,1,0.5541221330834827,0,1.0,9269.9873046875
42,2020-05-13,9269.9873046875,9317.87890625,8805.3876953125,8805.3876953125,45558144023,8804.4775390625,8601.7958984375,9268.76171875,5.287193516704303,0.013222758062925166,9047.628942590058,8729.486086129393,56.449372178591055,399.15672079905926,446.99114911617744,8730.952319335938,10172.869886194881,7289.034752476995,1.0810442868883703,0.8675249617124858,1,0.6869160199378767,0,1.0,9733.7216796875
43,2020-05-14,9733.7216796875,9793.2685546875,9255.03515625,9271.3291015625,56426907637,9269.9873046875,8804.4775390625,9951.5185546875,5.002535168149658,-2.1885792987584862,9184.854961304658,8826.311978272126,63.58609459321384,427.19545388479855,443.03179450213213,8840.093359375,10235.623021980904,7444.563696769094,1.238569060418987,1.088362713352494,1,0.8201753227673455,0,1.0,9328.197265625
44,2020-05-15,9328.197265625,9755.828125,9261.3984375,9734.291015625,48158802327,9733.7216796875,9269.9873046875,9842.666015625,-4.166180495059313,-5.2269247903290905,9213.524670910698,8874.645501249837,55.57519874039252,412.8473270604645,436.9946380585495,8928.006420898437,10202.947996737403,7653.064845059472,0.8534722944027067,0.9382511853233938,1,0.6569447778276507,0,1.0,9377.013671875
45,2020-05-16,9377.013671875,9564.205078125,9260.6943359375,9333.240234375,36164766408,9328.197265625,9733.7216796875,9593.896484375,0.5233209039209763,-2.2606332354453085,9246.223610495308,8922.974017819652,54.758651054110736,400.6755569721354,429.7305687253928,9012.863745117187,10157.255264390093,7868.472225844282,0.7509482100995771,0.7255830374376896,1,0.6591019859135173,0,1.0,9670.7392578125
46,2020-05-17,9670.7392578125,9823.001953125,9349.5458984375,9374.9296875,40084250663,9377.013671875,9328.197265625,8756.4306640625,3.132400103227817,10.441567218734882,9331.129106778544,8994.84084471782,59.02559513971607,409.4070415508959,425.6657499798845,9106.620654296876,10132.190214095936,8081.051094497816,1.108378530937586,0.8616154186494696,1,0.7750269828728888,0,1.0,9726.5751953125
47,2020-05-18,9726.5751953125,9906.0302734375,9570.359375,9675.6953125,41827139896,9670.7392578125,9377.013671875,8601.7958984375,0.5773698991511145,13.076098411952719,9410.220088273161,9065.105781250246,59.410762971238206,415.9135302967643,423.7152625459371,9202.596484375,10061.882756624726,8343.310212125276,1.0434806489873785,0.9433799628561519,1,0.8048918200250389,0,1.0,9729.0380859375
48,2020-05-19,9729.0380859375,9836.0478515625,9539.6240234375,9727.0634765625,39254288955,9726.5751953125,9670.7392578125,8804.4775390625,0.025321252090737545,10.50102681020011,9473.984825406955,9128.809871120731,58.568090403783934,416.4454099949762,422.26126609558145,9248.996484375,10117.158932970027,8380.834035779973,0.938488480269098,0.8936682602946777,1,0.7764699177782713,0,1.0,9522.9814453125
49,2020-05-20,9522.9814453125,9804.7939453125,9447.201171875,9725.3291015625,36546239703,9729.0380859375,9726.5751953125,9269.9873046875,-2.117954918100662,2.729174618147212,9483.784289250685,9166.60361284108,53.043215789497076,395.9884354315527,417.0066249660314,9292.21787109375,10121.826149129702,8462.609593057798,0.9310126530350752,0.8571387273634431,1,0.6390798406478473,0,1.0,9081.76171875
